Date,Item,Total Quantity,Supplier,canonical_item_name
2024-05-06,UST OAT MUG (Y/B inside),2,JUC,UST OAT MUG (Y/B inside)
2024-05-06,UST Santo Tomas Script T-Shirt,0,JUC,UST Santo Tomas Script T-Shirt
2024-05-06,UST T-Shirt (College Shirt),0,JUC,UST T-Shirt (College Shirt)
2024-05-06,UST T-Shirt Happy Tiger,2,JUC,UST T-Shirt Happy Tiger
2024-05-06,UST T-Shirt Sporty,5,JUC,UST T-Shirt Sporty
2024-05-06,UST T-Shirt Tiger Pattern,0,JUC,UST T-Shirt Tiger Pattern
2024-05-06,GT 375,0,JYL ATHLETICA,GT 375
2024-05-06,Jacket @1900,3,JYL ATHLETICA,Jacket
2024-05-06,Poloshirt 123456 @860,1,JYL ATHLETICA,Poloshirt 123456 @860
2024-05-06,Poloshirt 3 Colors @800,0,JYL ATHLETICA,Poloshirt 3 Colors
2024-05-06,VB Jersey with Sig. @1800,0,JYL ATHLETICA,VB Jersey with Sig. @1800
2024-05-06,VB Jersey with Sig. @2800,0,JYL ATHLETICA,VB Jersey with Sig. @2800
2024-05-06,VB Jersey without Sig @1000,0,JYL ATHLETICA,VB Jersey without Sig @1000
2024-05-06,VB Jersey without Sig @1500,0,JYL ATHLETICA,VB Jersey without Sig @1500
2024-05-06,VB Jersey without Sig @2000,0,JYL ATHLETICA,VB Jersey without Sig @2000
2024-05-06,Retractable @25,0,MITSUI,Retractable @25
2024-05-06,Stylus pen @45,0,MITSUI,Stylus pen @45
2024-05-06,Back pack,0,NAPOLIZ ENTERPRISES,Back pack
2024-05-06,Cane Umbrella,0,NAPOLIZ ENTERPRISES,Cane Umbrella
2024-05-06,Hoodies Breaker,3,NAPOLIZ ENTERPRISES,Hoodies Breaker
2024-05-06,Laptop Bag,0,NAPOLIZ ENTERPRISES,Laptop Bag
2024-05-06,Shirts,1,NAPOLIZ ENTERPRISES,Shirts
2024-05-06,Sling Bag,0,NAPOLIZ ENTERPRISES,Sling Bag
2024-05-06,Tote Bag Black,0,NAPOLIZ ENTERPRISES,Tote Bag Black
2024-05-06,Tote Bag White,2,NAPOLIZ ENTERPRISES,White Tote Bag
2024-05-06,Arch @320,0,TET AND DARS,Arch @320
2024-05-06,Eco Bag @ 130,0,TET AND DARS,Eco Bag @ 130
2024-05-06,Eco Bag @80,0,TET AND DARS,Eco Bag @80
2024-05-06,Keychain @160,0,TET AND DARS,Keychain @160
2024-05-06,Main Building,0,TET AND DARS,Main Building
2024-05-06,Mug @170,0,TET AND DARS,Mug @170
2024-05-06,Notebook @220,0,TET AND DARS,Notebook @220
2024-05-06,Pen @ 50,0,TET AND DARS,Pen @ 50
2024-05-06,Pen @25,0,TET AND DARS,Pen @25
2024-05-06,Sticker @ 115,2,TET AND DARS,Sticker @ 115
2024-05-06,Sticker @20,0,TET AND DARS,Sticker @20
2024-05-06,Auto Umbrella,0,USTORE,Auto Umbrella
2024-05-06,Bag,0,USTORE,Bag
2024-05-06,Eco Bag CGEEE!,0,USTORE,Eco Bag CGEEE!
2024-05-06,Keychain,2,USTORE,Keychain
2024-05-06,Kit Set,0,USTORE,Kit Set
2024-05-06,Lanyard @180,6,USTORE,Lanyard @180
2024-05-06,Lanyard @190,4,USTORE,Lanyard @190
2024-05-06,NB @100,2,USTORE,NB @100
2024-05-06,NB @75,0,USTORE,NB @75
2024-05-06,Sash Big,0,USTORE,Sash Big
