Date,Item,Total Quantity,Supplier
09/05/2024,UST T-Shirt (College Shirt),0,JUC
09/05/2024,UST T-Shirt Happy Tiger,15,JUC
09/05/2024,UST T-Shirt Sporty,16,JUC
09/05/2024,UST T-Shirt Tiger Pattern,12,JUC
09/05/2024,GT 375,0,JYL ATHLETICA
09/05/2024,Jacket @1900,4,JYL ATHLETICA
09/05/2024,Poloshirt 123456 @860,1,JYL ATHLETICA
09/05/2024,Poloshirt 3 Colors @800,0,JYL ATHLETICA
09/05/2024,VB Jersey with Sig. @1800,0,JYL ATHLETICA
09/05/2024,VB Jersey with Sig. @2800,0,JYL ATHLETICA
09/05/2024,VB Jersey without Sig @1000,0,JYL ATHLETICA
09/05/2024,VB Jersey without Sig @1500,2,JYL ATHLETICA
09/05/2024,VB Jersey without Sig @2000,0,JYL ATHLETICA
09/05/2024,Retractable @25,0,MITSUI
09/05/2024,Stylus pen @45,0,MITSUI
09/05/2024,Back pack,0,NAPOLIZ ENTERPRISES
09/05/2024,Cane Umbrella,0,NAPOLIZ ENTERPRISES
09/05/2024,Hoodies Breaker,2,NAPOLIZ ENTERPRISES
09/05/2024,Laptop Bag,0,NAPOLIZ ENTERPRISES
09/05/2024,Shirts,17,NAPOLIZ ENTERPRISES
09/05/2024,Sling Bag,0,NAPOLIZ ENTERPRISES
09/05/2024,Tote Bag Black,0,NAPOLIZ ENTERPRISES
09/05/2024,Tote Bag White,0,NAPOLIZ ENTERPRISES
09/05/2024,Arch @320,0,TET AND DARS
09/05/2024,Eco Bag @ 130,0,TET AND DARS
09/05/2024,Eco Bag @80,0,TET AND DARS
09/05/2024,Keychain @160,0,TET AND DARS
09/05/2024,Main Building,0,TET AND DARS
09/05/2024,Mug @170,0,TET AND DARS
09/05/2024,Notebook @220,0,TET AND DARS
09/05/2024,Pen @ 50,0,TET AND DARS
09/05/2024,Pen @25,0,TET AND DARS
09/05/2024,Sticker @ 115,0,TET AND DARS
09/05/2024,Sticker @20,0,TET AND DARS
09/05/2024,Auto Umbrella,0,USTORE
09/05/2024,Bag,0,USTORE
09/05/2024,Eco Bag CGEEE!,2,USTORE
09/05/2024,Keychain,13,USTORE
09/05/2024,Kit Set,0,USTORE
09/05/2024,Lanyard @180,3,USTORE
09/05/2024,Lanyard @190,3,USTORE
09/05/2024,NB @100,2,USTORE
09/05/2024,NB @75,0,USTORE
09/05/2024,Sash Big,0,USTORE
09/05/2024,Sash Small,1,USTORE
09/05/2024,Shabby Hat,1,USTORE
09/05/2024,Tiger Stuff Toy Small Grad,9,USTORE
