product_id,item_name,n_obs,n_test,n_test_break,naive_last_MAE,naive_last_RMSE,naive_last_MAPE,naive_last_MAPE_sem,naive_last_MAE_break,naive_mean_MAE,naive_mean_RMSE,naive_mean_MAPE,naive_mean_MAPE_sem,naive_mean_MAE_break,prophet_base_MAE,prophet_base_RMSE,prophet_base_MAPE,prophet_base_MAPE_sem,prophet_base_MAE_break,prophet_reg_MAE,prophet_reg_RMSE,prophet_reg_MAPE,prophet_reg_MAPE_sem,prophet_reg_MAE_break,prophet_tuned_MAE,prophet_tuned_RMSE,prophet_tuned_MAPE,prophet_tuned_MAPE_sem,prophet_tuned_MAE_break,prophet_flatlog_MAE,prophet_flatlog_RMSE,prophet_flatlog_MAPE,prophet_flatlog_MAPE_sem,prophet_flatlog_MAE_break
268,Pen @40,116,23,0,49.957,51.634,2951.0,2951.0,,10.101,13.266,469.2,469.2,,10245.66,13024.91,554605.1,554605.1,,9933.242,12978.002,537786.2,537786.2,,42.949,46.736,2610.8,2610.8,,9.395,13.024,421.7,421.7,
274,Polo Shirt @800,153,31,4,0.968,1.107,77.7,79.4,1.0,0.996,1.125,80.7,82.6,1.0,1.126,1.392,82.3,86.0,1.139,0.975,1.245,68.0,66.7,1.013,1.166,1.308,99.4,100.5,0.989,0.828,1.095,63.3,58.9,0.985
277,Poloshirt 123456 @860,84,17,0,0.588,1.328,19.6,19.6,,0.773,1.192,50.3,50.3,,0.654,1.276,29.5,29.5,,0.998,1.507,62.5,62.5,,0.775,1.343,38.7,38.7,,0.702,1.316,31.7,31.7,
280,Poloshirt @800,242,48,4,1.604,4.352,31.3,31.5,0.75,2.126,4.061,119.0,119.8,1.232,1.958,3.962,86.6,87.7,0.844,1.993,4.048,85.4,81.4,1.486,2.121,4.103,109.2,114.5,0.667,1.663,4.024,67.8,70.1,0.648
285,"QUIANA SUBLI SHIRT (B&Y), 2 TONED",98,20,2,3.65,4.945,86.4,69.8,8.0,3.676,4.69,106.3,86.1,8.0,6.65,8.121,100.0,100.0,9.0,6.65,8.121,100.0,100.0,9.0,9.503,10.681,308.6,321.8,8.303,4.265,5.506,90.1,82.6,7.992
286,Quiana Black Subli Shirt,128,26,0,1.308,2.465,67.5,67.5,,1.511,2.464,87.6,87.6,,2.032,3.176,92.7,92.7,,2.095,3.186,108.8,108.8,,2.044,3.209,91.7,91.7,,1.276,2.463,60.7,60.7,
287,Quiana Yelloow Subli Shirt,180,36,0,1.389,3.598,28.9,28.9,,1.627,3.32,82.0,82.0,,2.007,3.765,100.0,100.0,,2.063,3.939,85.2,85.2,,1.376,3.439,39.8,39.8,,1.371,3.489,38.5,38.5,
293,Scarf @490,67,13,4,2.308,3.486,51.5,53.1,1.5,1.972,2.622,91.2,92.0,1.259,3.308,4.215,100.0,100.0,2.5,3.308,4.215,100.0,100.0,2.5,3.06,4.042,92.8,89.5,2.5,1.99,2.447,85.2,98.5,1.001
299,Shabby Hat,79,16,1,1.438,2.512,35.8,34.9,1.0,3.402,3.515,246.5,252.0,3.286,64.404,104.506,4790.2,5102.9,2.0,306.829,363.75,21651.6,21943.8,345.377,4.892,6.575,293.1,306.0,2.0,1.816,2.094,114.6,116.7,1.658
301,Shirts all @450 UPSIZE (3XL-4XL),109,22,2,1.773,1.822,164.8,168.8,1.5,1.804,1.853,167.7,171.7,1.534,122.302,164.931,9984.7,8784.4,290.492,100.779,134.674,8250.2,7311.8,231.045,2.567,3.207,221.1,233.2,1.5,2.002,2.708,172.5,186.2,0.443
