Date,Item,Total Quantity,Supplier,imputation_flag,weight
20/05/2024,UST T-Shirt Sports,12,JUC,0,1
20/05/2024,UST T-Shirt Tiger Pattern,5,JUC,0,1
20/05/2024,Yellow Happy Tiger,1,JUC,1,0.5
20/05/2024,Jacket,8,JYL,0,1
20/05/2024,Poloshirt 123456,1,JYL,0,1
20/05/2024,VB Jersey w/o sig.,1,JYL,0,1
20/05/2024,University of Santo Tomas (B),7,NAPOLIZ,0,1
20/05/2024,UST Tiger Front and Back Graphic (W),1,NAPOLIZ,0,1
20/05/2024,Wind Breaker,2,NAPOLIZ,0,1
20/05/2024,Eco Bag,4,TET AND DARS,0,1
20/05/2024,Sticker,3,TET AND DARS,0,1
20/05/2024,Black Lanyard,8,USTORE,1,0.5
20/05/2024,Generic Lanyard,1,USTORE,1,0.5
20/05/2024,New Keychain,20,USTORE,1,0.5
20/05/2024,Sash Small,4,USTORE,0,1
20/05/2024,Shabby Hat,1,USTORE,0,1
20/05/2024,Tiger Stuff Toy Small Grad,27,USTORE,0,1
20/05/2024,Tote (One For UST),2,USTORE,0,1
20/05/2024,Tote Bag Canvas White,1,USTORE,0,1
20/05/2024,Varsity Lanyard,1,USTORE,1,0.5
20/05/2024,Black Lanyard,2,VARSITY LIFE STYLE,1,0.5
20/05/2024,New Keychain,5,VARSITY LIFE STYLE,1,0.5
20/05/2024,Shirts,1,VARSITY LIFE STYLE,0,1
20/05/2024,Sticker Pack,4,VARSITY LIFE STYLE,0,1
20/05/2024,UST Long Sticker,1,VARSITY LIFE STYLE,1,0.5
21/05/2024,Subli. Shirt,1,CENTRAL SEMINARY,0,1
21/05/2024,Black Happy Tiger,2,JUC,1,0.5
21/05/2024,UST OAT Hoodie Jacket,2,JUC,0,1
21/05/2024,UST OAT T-Shirt,3,JUC,0,1
21/05/2024,UST T-Shirt Sports,6,JUC,0,1
21/05/2024,UST T-Shirt Tiger Pattern,2,JUC,0,1
21/05/2024,Yellow Happy Tiger,2,JUC,1,0.5
21/05/2024,GT Shirt,4,JYL,0,1
21/05/2024,Poloshirt 3 Colors,1,JYL,0,1
21/05/2024,Script Santo Tomas with Tiger Back (B),2,NAPOLIZ,0,1
21/05/2024,University of Santo Tomas (B),4,NAPOLIZ,0,1
