Date,Item,Total Quantity,Supplier
2024-05-15,Lanyard,1,VARSITY LIFE STYLE
2024-05-15,Long Sticker,1,VARSITY LIFE STYLE
2024-05-15,Scarves,2,VARSITY LIFE STYLE
2024-05-15,Shirts,4,VARSITY LIFE STYLE
2024-05-16,Subli. Shirt,2,CENTRAL SEMINARY
2024-05-16,Tiger Shirt,1,IPEA
2024-05-16,UST OAT Hoodie Jacket,1,JUC
2024-05-16,UST OAT MUG,5,JUC
2024-05-16,UST OAT MUG (WE) Inside,11,JUC
2024-05-16,UST T-Shirt Sports,3,JUC
2024-05-16,UST T-Shirt Tiger Pattern,1,JUC
2024-05-16,Jacket,1,JYL
2024-05-16,VB Jersey w/o sig.,3,JYL
2024-05-16,Front Tiger Hoodie,1,NAPOLIZ
2024-05-16,Script Santo Tomas with Tiger Back (B),2,NAPOLIZ
2024-05-16,Side Tiger Hoodie,1,NAPOLIZ
2024-05-16,University of Santo Tomas (B),4,NAPOLIZ
2024-05-16,White Tote Bag,1,NAPOLIZ
2024-05-16,Wind Breaker,4,NAPOLIZ
2024-05-16,Arch,5,TET AND DARS
2024-05-16,Eco Bag,30,TET AND DARS
2024-05-16,Main Building,15,TET AND DARS
2024-05-16,Sticker,1,TET AND DARS
2024-05-16,Eco Bag CGEEE!,2,USTORE
2024-05-16,Keychain,10,USTORE
2024-05-16,Sash Small,2,USTORE
2024-05-16,Tiger Stuff Toy Small Grad,31,USTORE
2024-05-16,Tote (One For UST),3,USTORE
2024-05-16,Tote Bag Canvas White,4,USTORE
2024-05-16,Tumbler,7,USTORE
2024-05-16,Umb (One For UST),33,USTORE
2024-05-16,Baller,1,VARSITY LIFE STYLE
2024-05-16,Keychain,4,VARSITY LIFE STYLE
2024-05-17,Subli. Shirt,33,CENTRAL SEMINARY
2024-05-17,UST Happy Tiger,5,JUC
2024-05-17,UST OAT Hoodie Jacket,2,JUC
2024-05-17,UST OAT MUG,6,JUC
2024-05-17,UST OAT MUG (WE) Inside,2,JUC
2024-05-17,UST T-Shirt Sports,3,JUC
2024-05-17,UST T-Shirt Tiger Pattern,1,JUC
2024-05-17,Poloshirt 123456,2,JYL
2024-05-17,VB Jersey w/o sig.,1,JYL
2024-05-17,Front Tiger Hoodie,1,NAPOLIZ
2024-05-17,Script Santo Tomas with Tiger Back (B),2,NAPOLIZ
2024-05-17,University of Santo Tomas (B),6,NAPOLIZ
2024-05-17,White Tote Bag,3,NAPOLIZ
2024-05-17,Wind Breaker,1,NAPOLIZ
2024-05-17,Sticker,2,TET AND DARS
2024-05-17,Keychain,11,USTORE
2024-05-17,Lanyard,7,USTORE
2024-05-17,Sash Small,1,USTORE
2024-05-17,Shabby Hat,1,USTORE
2024-05-17,Tiger Stuff Toy Small Grad,8,USTORE
2024-05-17,Tote Bag Canvas White,4,USTORE
2024-05-17,Tumbler,10,USTORE
2024-05-17,Umb (One For UST),2,USTORE
2024-05-17,Baller,2,VARSITY LIFE STYLE
2024-05-17,Hoodie,2,VARSITY LIFE STYLE
2024-05-17,Keychain,2,VARSITY LIFE STYLE
2024-05-17,Lanyard,1,VARSITY LIFE STYLE
2024-05-17,Oversized Sweatshirt,2,VARSITY LIFE STYLE
2024-05-17,Scarves,1,VARSITY LIFE STYLE
2024-05-17,Shirts,1,VARSITY LIFE STYLE
2024-05-17,Varsity Jacket,2,VARSITY LIFE STYLE
2024-05-20,Polo Shirt,1,BLAZE
2024-05-20,Subli. Shirt,2,CENTRAL SEMINARY
2024-05-20,UST Happy Tiger,2,JUC
2024-05-20,UST OAT Hoodie Jacket,2,JUC
2024-05-20,UST OAT MUG (WE) Inside,2,JUC
2024-05-20,UST T-Shirt Sports,12,JUC
2024-05-20,UST T-Shirt Tiger Pattern,5,JUC
2024-05-20,Jacket,8,JYL
2024-05-20,Poloshirt 123456,1,JYL
2024-05-20,VB Jersey w/o sig.,1,JYL
2024-05-20,University of Santo Tomas (B),7,NAPOLIZ
2024-05-20,UST Tiger Front and Back Graphic (W),1,NAPOLIZ
2024-05-20,Wind Breaker,2,NAPOLIZ
2024-05-20,Eco Bag,4,TET AND DARS
2024-05-20,Sticker,3,TET AND DARS
