Category,Date,No,Item,Size,Location,Classification,Price,Quantity,OPEX,Notes
APPAREL,13/11/2024,7,JYL Hoodie (black/yellow green inside),Medium,INSIDE,,1900,6,,
APPAREL,13/11/2024,7,JYL Hoodie (black/yellow green inside),Medium,OUTSIDE,,1900,3,,
APPAREL,13/11/2024,7,JYL Hoodie (black/yellow green inside),Large,INSIDE,,1900,6,,
APPAREL,13/11/2024,7,JYL Hoodie (black/yellow green inside),Large,OUTSIDE,,1900,1,,
APPAREL,13/11/2024,7,JYL Hoodie (black/yellow green inside),XL,INSIDE,,1900,6,,
APPAREL,13/11/2024,7,JYL Hoodie (black/yellow green inside),XL,OUTSIDE,,1900,6,,
APPAREL,13/11/2024,8,JYL Jacket (black/yellow green inside),Medium,OUTSIDE,,1900,2,,
APPAREL,13/11/2024,8,JYL Jacket (black/yellow green inside),Large,OUTSIDE,,1900,1,,
APPAREL,13/11/2024,9,JYL Hoodie (white/green/yellow,Medium,OUTSIDE,,1900,1,,
APPAREL,13/11/2024,9,JYL Hoodie (white/green/yellow,Medium,INSIDE,,1900,2,,
APPAREL,13/11/2024,9,JYL Hoodie (white/green/yellow,Large,OUTSIDE,,1900,2,,
APPAREL,13/11/2024,9,JYL Hoodie (white/green/yellow,Large,INSIDE,,1900,3,,
APPAREL,13/11/2024,9,JYL Hoodie (white/green/yellow,XL,OUTSIDE,,1900,1,,
APPAREL,13/11/2024,9,JYL Hoodie (white/green/yellow,XL,INSIDE,,1900,4,,
APPAREL,13/11/2024,9,JYL Hoodie (white/green/yellow,2XL,OUTSIDE,,1900,2,,
APPAREL,13/11/2024,10,JYL Light Yellow Hoodie,XL,INSIDE,,1900,8,,
APPAREL,13/11/2024,12,Varsity Hoodie,Small,INSIDE,,2100,9,,
APPAREL,13/11/2024,12,Varsity Hoodie,Medium,INSIDE,,2100,5,,
APPAREL,13/11/2024,12,Varsity Hoodie,XL,INSIDE,,2100,4,,
APPAREL,13/11/2024,12,Varsity Hoodie,2XL,INSIDE,,2100,3,,
APPAREL,13/11/2024,13,White Hoodie w/ gold tiger head,XS,INSIDE,,1200,11,,
APPAREL,13/11/2024,13,White Hoodie w/ gold tiger head,Small,INSIDE,,1200,7,,
