item_name,fsn_class,supplier_name
Sci Ballpen,S,COLLEGE OF SCIENCE AT 100
Sci Notebook,S,COLLEGE OF SCIENCE AT 100
Sci Totebag,S,COLLEGE OF SCIENCE AT 100
Shabby Hat,S,USTORE
Shirts,S,VARSITY LIFESTYLE
Shirts all @450 UPSIZE (3XL-4XL),S,JUC
Shirts all @450 UPSIZE (3XL-5XL),S,JUC
Shirts all @450 UPSIZE (5XL),S,JUC
Sling Bag,S,NAPOLIZ ENTERPRISES
Small Mystery Car,S,MADEBYRUZ CONSUMER GOODS TRADING
Socks @375,S,BLAZE
Stainless Eco Tumbler,S,USTORE
Sticker @ 115,S,TET AND DARS
Sticker @120,S,TET AND DARS
Sticker @20,S,TET AND DARS
Sticker Pack,S,VARSITY LIFESTYLE
Stylus pen @45,S,MITSUI
Subli. Shirt,S,CENTRAL SEMINARY
Subli. Shirt 2 colors,S,JYL ATHLETICA
Sweatshirt (NEW),S,VARSITY LIFESTYLE
Taslan NEW,S,JYL ATHLETICA
Thomasian Kit,S,USTORE
Thomasian Kit Set,S,USTORE
Tiger BUNDLE,S,USTORE
Tiger Claw,S,MADEBYRUZ CONSUMER GOODS TRADING
Tiger Costume,S,MADEBYRUZ CONSUMER GOODS TRADING
Tiger Headband (2 Designs),S,MADEBYRUZ CONSUMER GOODS TRADING
Tiger Plushie Big,S,USTORE
Tiger Stuff Toy Small Grad,S,USTORE
Tote (One For UST),S,USTORE
Tote Bag Black,S,NAPOLIZ ENTERPRISES
Travel Mug,S,USTORE
Triple Black Embro,S,BLAZE
Triple White Embro,S,BLAZE
Tripple Embro Black Shirt,S,
Trucker Cap,S,TOP GUN PHILS.
Tumbler,S,USTORE
Two-toned windbreaker @1700,S,THREADMARKED
"UST 1611 Embro Shirt (B,V)",S,THREADMARKED
UST Arch Clicker,S,MADEBYRUZ CONSUMER GOODS TRADING
UST Keychain,S,
UST Logo Clicker,S,MADEBYRUZ CONSUMER GOODS TRADING
UST Logo Embro Polo Shirt (2XL-3XL),S,THREADMARKED
UST Logo Embro Polo Shirt (XS-XL),S,THREADMARKED
UST Long Sticker,S,
UST OAT Hoodie Jacket,S,JUC
UST OAT MUG (Pure Black),S,JUC
UST OAT MUG (W inside),S,JUC
UST OAT T-Shirt Y/B/COLLEGE (3XL),S,JUC
UST Santo Tomas Script T-Shirt,S,JUC
UST Sweatshirt Sporty,S,JUC
UST T-Shirt Sporty UPSIZE (3XL-5XL),S,JUC
"UST TIGERS Oversized shirt (V,B) @650",S,THREADMARKED
UST Toddler Hoodie,S,THREADMARKED
UST-Pen W/Box,S,NEW TRENDS
USTORE Voucher (1000),S,USTORE
USTORE Voucher (200),S,USTORE
USTORE Voucher (500),S,USTORE
USTWBT Championship Shirt 2025,S,VARSITY LIFESTYLE
Umb Old @250,S,USTORE
Umb. Cane,S,USTORE
Utensil,S,USTORE
VB Jersey with Sig. @1800,S,JYL ATHLETICA
VB Jersey with Sig. @2800,S,JYL ATHLETICA
VB Jersey without Sig @1000,S,JYL ATHLETICA
VB Jersey without Sig @1500,S,JYL ATHLETICA
VB Jersey without Sig @2000,S,JYL ATHLETICA
VL Keychain,S,VARSITY LIFESTYLE
VL Lanyard,S,VARSITY LIFESTYLE
VL Sticker Pack,S,VARSITY LIFESTYLE
Varsity Jacket,S,VARSITY LIFESTYLE
Varsity Jacket Embro,S,THREADMARKED
Varsity Lanyard,S,
Varsity Long Sticker,S,
Varsity UST Keychain,S,
White Baseball Shirt,S,
White Embro,S,BLAZE
Windbreaker,S,
Woven Sling Bag (LARGE),S,"ASSOCIATION FOR THE EDUCATIONAL ASSISTANCE OF POOR SEMINARIANS, INC."
Woven Sling Bag (SMALL),S,"ASSOCIATION FOR THE EDUCATIONAL ASSISTANCE OF POOR SEMINARIANS, INC."
Woven Tote Bag (BIG),S,"ASSOCIATION FOR THE EDUCATIONAL ASSISTANCE OF POOR SEMINARIANS, INC."
Woven Tote Bag (SMALL),S,"ASSOCIATION FOR THE EDUCATIONAL ASSISTANCE OF POOR SEMINARIANS, INC."
"Y,B VL UST",S,VARSITY LIFESTYLE
Yellow Baseball Shirt,S,
Yellow Double Canopy Umbrella,S,
Yellow Id Lanyard,S,
Yellow Laptop Bag,S,
Yellow Notebook,S,USTORE
Yellow Wearable Blanket,S,
Yellow/Black Lanyard,S,
Yelow Laptop Bag,S,
