mae,mase_mean,mase_median,mase_trimmed,mase_weighted,mase_global,rmsse_mean,rmsse_median,pct_mase_from_worst10,n_skus,method,subset,mean_density
13.473057644110277,5.271960860346076,1.9529586853530843,3.352234523681494,4.144976807225016,1.5413261491458683,1.771736091893376,1.4641442470750259,33.19131105690334,262,rolling_mean_30,ALL,7.250006868572161
40.02155172413793,3.4682425053902923,1.6365792067417895,2.613620721720706,3.6560481216401093,1.5757574640737477,1.607847557210286,1.4358716607460926,59.920238185189504,58,rolling_mean_30,fast movers (F),13.96530723675921
6.070112179487179,5.784782745578603,2.0275472339021263,3.6081073974037605,5.258754079178838,1.4817838460676591,1.8183318517542542,1.4641442470750259,38.84907256725981,204,rolling_mean_30,slow movers (S),5.377471188981541
1.5203488372093017,7.7010697731797215,2.401536295562668,5.531893864112017,18.451242115562117,0.8097345531388815,1.807451054282682,1.5703273277210565,71.02442559591594,82,rolling_mean_30,almost never (<2%),0.6769962892672011
5.621584699453552,5.992388780915281,2.1079341797746953,5.002692293507017,8.793266853619423,1.7153380495931057,2.099130465434164,1.541104925066092,54.87622225571131,61,rolling_mean_30,rare (2-5%),3.4164653261716027
13.42,4.69932975027614,3.441681941761373,3.6211557170612,8.252925878334802,1.8292044522407085,1.9267747135298723,1.807379620954302,61.234495022633254,50,rolling_mean_30,occasional (5-10%),7.2253349573690615
26.489393939393942,2.4088785131941988,1.6118358474691952,2.234895058227516,3.5624987778081985,1.6233369399361974,1.389813010514197,1.304442303224288,49.28118861484565,55,rolling_mean_30,regular (10-25%),14.629609124128006
70.16071428571428,1.1982501881867518,1.1180696565270811,1.1792089819517,1.4872242033598246,1.4038877490254187,1.0827471413304344,1.1166417537387088,80.85514451376399,14,rolling_mean_30,frequent (>25%),35.42717939794676
14.87374686716792,4.834075329923636,1.69680322214047,3.5256305434628876,4.712512458218954,1.7015807701595693,1.8402267549325577,1.4307761487684152,23.13566492637105,262,rolling_median_30,ALL,7.250006868572161
45.15086206896552,4.289445509892209,1.7391299420798423,3.0921027337157527,4.401422462715362,1.7777123786938622,1.8542476840764535,1.586755675034892,63.04299585090596,58,rolling_median_30,fast movers (F),13.96530723675921
6.431089743589743,4.988921063069825,1.6878557677867674,3.660644206438238,5.421174021223004,1.5699258705812238,1.8362404123328224,1.3988551737886108,28.124628493490484,204,rolling_median_30,slow movers (S),5.377471188981541
0.9622093023255814,4.703689158444414,1.3397605855313308,3.4042877405839906,10.611749159578757,0.511710845402143,1.4378984972761375,1.1960273739402,67.96952163600137,82,rolling_median_30,almost never (<2%),0.6769962892672011
4.790983606557377,6.5861207206346375,1.9213382151492868,5.371277893156057,9.070487441564316,1.4618932053275873,2.267429048396748,1.494403278475994,59.41878078417222,61,rolling_median_30,rare (2-5%),3.4164653261716027
14.058333333333332,5.783976741445287,2.922330672918275,4.461566792874609,10.00307421298857,1.9162120659029278,2.227571249114153,1.8876903353390957,65.44287822324604,50,rolling_median_30,occasional (5-10%),7.2253349573690615
30.37424242424243,3.035710371218735,2.0654275722224447,2.7875822763060363,4.3322567800680085,1.8614102633930647,1.7109005297765272,1.6092335018974762,48.486989526525946,55,rolling_median_30,regular (10-25%),14.629609124128006
86.27976190476191,1.6363538571102036,1.6725762659369443,1.6391253535825594,1.8096043996193822,1.7264234259882454,1.4600335335763248,1.4447840968042642,79.06026036290073,14,rolling_median_30,frequent (>25%),35.42717939794676
15.162907268170427,5.686724425395521,1.835686457899854,3.7768936771107264,4.808354713873485,1.7346639764211766,2.052124337004091,1.434604161240331,29.338946660084442,262,rolling_q75_30,ALL,7.250006868572161
45.26867816091954,4.0517284204869055,1.9429585240235583,2.900577633267737,4.226677856272926,1.7823511190296741,1.8737833263795587,1.4537244820830713,64.27251781462886,58,rolling_q75_30,fast movers (F),13.96530723675921
6.768028846153846,6.151576230712675,1.8221410956025892,4.092738850881896,6.133411890344911,1.6521982819196337,2.102829134142438,1.434604161240331,34.72720206315652,204,rolling_q75_30,slow movers (S),5.377471188981541
