item_name,n_sale_days,total_units,mean_units,log_mean_units,cv,active_rate,p90_share,weekday_gini,break_ratio,exam_ratio,log_price,cluster,semantic_category,cluster_label
Clappers,50,439.0,8.78,2.280339484046726,3.217684568911802,0.0998003992015968,0.6514806378132119,0.5395379108363163,1.6773333333333333,0.3864444444444444,2.9444389791664403,1,Plush & Souvenirs,c1-steady-bursty-budget-termonly
Clock @550,17,64.0,3.764705882352941,1.5612358106162227,2.4874072493700643,0.033932135728542916,0.671875,0.6607142857142857,1.0,0.2754237288135593,6.311734809152915,1,Home & Novelty,c1-steady-bursty-budget-termonly
Clock @700,19,155.0,8.157894736842104,2.2146163200480884,1.8113859899348668,0.03792415169660679,0.6193548387096774,0.6599078341013825,1.0075757575757576,0.1414141414141414,6.55250788703459,1,Home & Novelty,c1-steady-bursty-budget-termonly
College Sticker @120,45,79.0,1.7555555555555555,1.013619075834717,0.7695678242089786,0.08982035928143713,0.3037974683544304,0.3074141048824593,0.8266666666666667,1.6275000000000002,4.795790545596741,2,Stationery,c2-slow-even-mid
Corp Jacket,137,244.0,1.781021897810219,1.0228184492985761,0.7480962791675565,0.27345309381237526,0.27049180327868855,0.24121779859484777,1.4727722772277227,1.3623143564356437,7.313886831633462,2,Outerwear,c2-slow-even-mid
Corp Jacket V2,163,629.0,3.8588957055214723,1.5808111910076637,0.9059101637238592,0.3253493013972056,0.3275039745627981,0.13672496025437203,1.0246252676659529,1.6344846848524346,7.409136443920128,0,Outerwear,c0-steady-bursty-mid
Corp Jacket V3,74,171.0,2.310810810810811,1.1971931173405572,1.0278847598182743,0.14770459081836326,0.3567251461988304,0.16040100250626566,1.1666666666666667,0.8484848484848485,7.313886831633462,2,Outerwear,c2-slow-even-mid
Corp Windbreaker,64,100.0,1.5625,0.9409833444645266,0.8675014294851221,0.1277445109780439,0.33,0.10571428571428572,1.0,1.1853658536585365,7.313886831633462,2,Outerwear,c2-slow-even-mid
Cotton Black Jacket,110,181.0,1.6454545454545455,0.9728429013790763,0.6817650723154312,0.21956087824351297,0.26519337016574585,0.1404893449092344,1.0141843971631206,1.203647416413374,7.550135342488429,2,Outerwear,c2-slow-even-mid
Cotton Brush Jacket,175,443.0,2.5314285714285716,1.2617024835341768,1.0586227786754752,0.34930139720558884,0.35214446952595935,0.16317316994517897,1.269399124552328,1.0887731621654355,7.313886831633462,0,Outerwear,c0-steady-bursty-mid
Cotton Gray Jacket,95,181.0,1.9052631578947368,1.0665239741166093,0.8831656959901693,0.18962075848303392,0.3149171270718232,0.16101026045777428,0.6543624161073825,1.087248322147651,7.313886831633462,2,Outerwear,c2-slow-even-mid
DRI-FIT NEW,188,510.0,2.7127659574468086,1.3117771399324234,1.5538127093489427,0.37524950099800397,0.3764705882352941,0.14565826330532214,0.8872767857142858,0.7252523291925467,6.2166061010848646,0,Shirts & Tops,c0-steady-bursty-mid
Discounted Yellow Lanyard @80,18,160.0,8.88888888888889,2.2914117923959205,0.891596799535068,0.03592814371257485,0.31875,0.11607142857142858,1.0,0.7748091603053434,4.394449154672439,0,Lanyards & IDs,c0-steady-bursty-mid
Double Canopy,44,180.0,4.090909090909091,1.6274564179367788,1.7483218646807617,0.08782435129740519,0.5222222222222223,0.3634920634920635,1.0070422535211268,0.7262323943661972,6.461468176353717,1,Umbrellas & Gear,c1-steady-bursty-budget-termonly
"Double Canopy (B,Y)",40,232.0,5.8,1.916922612182061,1.6607260204401328,0.07984031936127745,0.5129310344827587,0.4014778325123153,1.3587662337662338,0.9155844155844157,5.3981627015177525,1,Umbrellas & Gear,c1-steady-bursty-budget-termonly
Dri-Fit Golden Tigresses,61,246.0,4.032786885245901,1.615973883413886,1.1344949974522924,0.1217564870259481,0.3943089430894309,0.24738675958188153,1.3092948717948718,1.3978937728937728,5.860786223465865,0,Shirts & Tops,c0-steady-bursty-mid
Eco Bag,34,270.0,7.9411764705882355,2.1906671767900603,1.5898135646893108,0.06786427145708583,0.5,0.4455026455026455,1.0,0.8783269961977186,4.394449154672439,1,Bags,c1-steady-bursty-budget-termonly
Eco Bag @ 130,16,51.0,3.1875,1.4321038971511848,0.9322012137457972,0.031936127744510975,0.39215686274509803,0.5154061624649859,0.7236842105263158,0.7719298245614035,4.61512051684126,2,Bags,c2-slow-even-mid
Eco Bag @80,64,245.0,3.828125,1.5744581935380737,1.4912472573494455,0.1277445109780439,0.4489795918367347,0.4629737609329446,0.27835051546391754,1.5463917525773196,4.394449154672439,1,Bags,c1-steady-bursty-budget-termonly
Eco Bag CGEEE!,20,94.0,4.7,1.7404661748405046,1.3387269495193639,0.03992015968063872,0.46808510638297873,0.4376899696048632,1.9900497512437811,0.47761194029850745,4.795790545596741,1,Bags,c1-steady-bursty-budget-termonly
Gemini Paper Bag Medium,10,21.0,2.1,1.1314021114911006,0.6900655593423543,0.01996007984031936,0.23809523809523808,0.4897959183673469,0.44999999999999996,1.0,5.017279836814924,2,Bags,c2-slow-even-mid
Gemini Paper Bag Small,10,32.0,3.2,1.4350845252893227,0.9057110466368399,0.01996007984031936,0.3125,0.4107142857142857,0.8076923076923077,0.40384615384615385,4.875197323201151,2,Bags,c2-slow-even-mid
Go Fight UST Shirt,20,61.0,3.05,1.3987168811184478,1.1480339136050668,0.03992015968063872,0.39344262295081966,0.44028103044496486,0.31007751937984496,0.46511627906976744,5.942799375126701,2,Shirts & Tops,c2-slow-even-mid
"Go USTE (W,Y,B) @450",132,443.0,3.356060606060606,1.4715681182109794,1.1666620827771312,0.2634730538922156,0.36343115124153497,0.16059335698161883,0.8833333333333333,1.3405882352941174,6.111467339502679,0,Uncategorised,c0-steady-bursty-mid
Hoodie,14,16.0,1.1428571428571428,0.7621400520468967,0.31774445465112133,0.027944111776447105,0.25,0.5178571428571429,1.0,1.2222222222222223,7.467942332285852,2,Outerwear,c2-slow-even-mid
"Hoodie UST embro (V,G,Y,B) @1800",144,591.0,4.104166666666667,1.630057199636836,1.0601961247214284,0.2874251497005988,0.33671742808798644,0.11554266376601402,0.764893001735107,0.7830327567169673,7.496097345175956,0,Outerwear,c0-steady-bursty-mid
Hoodies Breaker,239,661.0,2.7656903765690375,1.3259312113928001,0.8433784503804058,0.47704590818363274,0.3010590015128593,0.16425329587205534,0.8735474006116207,1.048256880733945,7.026426808699636,0,Outerwear,c0-steady-bursty-mid
ID Case,83,455.0,5.481927710843373,1.8690179523651864,1.1646889557936706,0.1656686626746507,0.41318681318681316,0.29010989010989013,0.40617848970251713,0.21121281464530892,3.044522437723423,0,Lanyards & IDs,c0-steady-bursty-mid
ID Case v2 @40,140,604.0,4.314285714285714,1.6703986122237875,1.48484110418235,0.27944111776447106,0.3956953642384106,0.17549668874172186,0.7511737089201879,0.8911651728553137,3.713572066704308,0,Lanyards & IDs,c0-steady-bursty-mid
IPEA Shirt,24,31.0,1.2916666666666667,0.8292793548845253,0.6647788802287904,0.04790419161676647,0.2903225806451613,0.2119815668202765,1.0,1.4583333333333335,5.860786223465865,2,Shirts & Tops,c2-slow-even-mid
Insignia Pen,61,109.0,1.7868852459016393,1.0249245728769505,0.89140924520846,0.1217564870259481,0.3394495412844037,0.16251638269986893,0.8695652173913043,0.6260869565217391,5.017279836814924,2,Stationery,c2-slow-even-mid
Jacket,171,403.0,2.3567251461988303,1.2109658398169065,1.0256369370687708,0.3413173652694611,0.3349875930521092,0.18929457639135058,0.4682080924855492,1.051414663827198,7.550135342488429,2,Outerwear,c2-slow-even-mid
Jersey Short,38,73.0,1.9210526315789473,1.0719440415859482,0.7399522464576195,0.07584830339321358,0.2876712328767123,0.20743639921722112,1.7142857142857142,1.2244897959183674,6.111467339502679,2,Shirts & Tops,c2-slow-even-mid
"Keep Growling OS (B,V)",44,101.0,2.2954545454545454,1.1925441085023132,1.179402365364265,0.08782435129740519,0.36633663366336633,0.2036775106082037,0.5730337078651685,0.4297752808988764,6.100318952020064,2,Uncategorised,c2-slow-even-mid
Keychain,72,353.0,4.902777777777778,1.7754230499083614,2.1610582871857,0.1437125748502994,0.6628895184135978,0.5317685147713477,0.4914634146341464,0.45365853658536587,5.017279836814924,1,Keychains & Charms,c1-steady-bursty-budget-termonly
Keychain @160,35,340.0,9.714285714285714,2.371577964480997,1.7787181581632108,0.06986027944111776,0.5294117647058824,0.4319327731092437,1.0,3.8579295154185025,5.081404364984463,4,Keychains & Charms,c4-steady-bursty-mid-exampeak
Keychain @180,87,362.0,4.160919540229885,1.6411147690876704,1.1548442806219101,0.17365269461077845,0.3812154696132597,0.16574585635359115,1.103030303030303,0.908133971291866,5.198497031265826,0,Keychains & Charms,c0-steady-bursty-mid
Kit Set,28,98.0,3.5,1.5040773967762742,1.1255300254752911,0.05588822355289421,0.37755102040816324,0.478134110787172,1.0,0.946969696969697,6.68586094706836,2,Uncategorised,c2-slow-even-mid
Kraft Notebook @130,74,646.0,8.72972972972973,2.2751861188059315,2.171658359345156,0.14770459081836326,0.651702786377709,0.38876603272888105,0.1462522851919561,0.9473159381751703,4.875197323201151,1,Stationery,c1-steady-bursty-budget-termonly
Kraft Notebook @85,11,92.0,8.363636363636363,2.236833715431265,1.3306407910979723,0.021956087824351298,0.5869565217391305,0.593167701863354,1.0,0.43881856540084385,4.454347296253507,1,Stationery,c1-steady-bursty-budget-termonly
Lanyard,110,593.0,5.390909090909091,1.8548765260182487,2.642644906901063,0.21956087824351297,0.6408094435075885,0.42013972536738137,0.22173112338858195,0.35843753028981296,5.198497031265826,1,Lanyards & IDs,c1-steady-bursty-budget-termonly
Lanyard @180,338,7062.0,20.893491124260354,3.0861893837092422,1.6864404038683887,0.6746506986027944,0.42693288020390824,0.14107699154428127,0.24707338080623048,0.6198172006884115,5.198497031265826,0,Lanyards & IDs,c0-steady-bursty-mid
Lanyard @190,127,605.0,4.7637795275590555,1.7515934275027203,1.8272356714078593,0.25349301397205587,0.456198347107438,0.24698937426210155,0.26229508196721313,0.639344262295082,5.25227342804663,0,Lanyards & IDs,c0-steady-bursty-mid
Laptop Bag,18,23.0,1.2777777777777777,0.8232003088081431,0.7499582997414261,0.03592814371257485,0.30434782608695654,0.484472049689441,1.0,0.7619047619047619,7.280008252884188,2,Bags,c2-slow-even-mid
Logo Keychain @200,43,193.0,4.488372093023256,1.7026316893320477,3.036368794420354,0.08582834331337326,0.6269430051813472,0.4293116210214656,0.19337016574585633,0.30386740331491713,5.303304908059076,1,Keychains & Charms,c1-steady-bursty-budget-termonly
Logo Sticker @25,82,383.0,4.670731707317073,1.7353181583231032,0.9347848225904403,0.16367265469061876,0.34986945169712796,0.21782916822081314,1.458966565349544,1.0629613547546677,3.044522437723423,0,Stationery,c0-steady-bursty-mid
Logo Sticker @30,32,92.0,2.875,1.3545456628053103,0.8133288081880983,0.06387225548902195,0.33695652173913043,0.2732919254658385,1.0,0.853658536585366,3.4339872044851463,2,Stationery,c2-slow-even-mid
Long Sticker,61,146.0,2.3934426229508197,1.2218449290920579,1.0686929037026818,0.1217564870259481,0.4041095890410959,0.17416829745596868,0.6198347107438017,1.0101010101010102,4.61512051684126,0,Stationery,c0-steady-bursty-mid
Long Sticker @120,81,215.0,2.654320987654321,1.2959102996516216,1.2078757238213138,0.16167664670658682,0.40930232558139534,0.15813953488372093,2.2459349593495936,0.6737804878048781,4.795790545596741,0,Stationery,c0-steady-bursty-mid
MJ Charger,8,8.0,1.0,0.6931471805599453,0.0,0.015968063872255488,0.125,0.4642857142857143,1.0,1.0,7.0909098220799835,2,Uncategorised,c2-slow-even-mid
MJ Sticker Bundle,9,22.0,2.4444444444444446,1.236762627148927,1.1946419637228567,0.017964071856287425,0.45454545454545453,0.5194805194805194,1.0,1.0,4.875197323201151,2,Stationery,c2-slow-even-mid
MJ Sticker Large,230,881.0,3.8304347826086955,1.5749364807164346,1.3195519186949045,0.4590818363273453,0.33825198637911463,0.20950218907086104,1.0650887573964496,1.6568047337278105,3.58351893845611,0,Stationery,c0-steady-bursty-mid
MJ Sticker Medium,265,1625.0,6.132075471698113,1.9646022820674658,1.250781788873727,0.5289421157684631,0.34276923076923077,0.19393406593406592,1.005125919322487,1.3638229739715906,3.4339872044851463,0,Stationery,c0-steady-bursty-mid
MJ Sticker Small,276,2156.0,7.811594202898551,2.1760683773689076,1.712394819004674,0.5508982035928144,0.39332096474953615,0.2258150013252054,0.9410377358490566,1.3577830188679245,3.258096538021482,0,Stationery,c0-steady-bursty-mid
Machete V2,69,113.0,1.6376811594202898,0.9699001824795359,0.7764224148439919,0.1377245508982036,0.2831858407079646,0.18710493046776233,0.8494382022471909,1.0314606741573034,7.313886831633462,2,Uncategorised,c2-slow-even-mid
Mug @170,17,100.0,5.882352941176471,1.9289605907415401,1.4891776254026918,0.033932135728542916,0.51,0.68,1.0,1.4285714285714286,5.14166355650266,1,Drinkware,c1-steady-bursty-budget-termonly
New GT Shirts,153,345.0,2.2549019607843137,1.1801621556322175,1.1081463169972816,0.30538922155688625,0.3855072463768116,0.12422360248447205,0.8181818181818182,0.9600000000000002,6.398594934535208,0,Shirts & Tops,c0-steady-bursty-mid
New Polo Shirt (EMBROIDED),14,27.0,1.9285714285714286,1.0745147370890493,0.7180278525555108,0.027944111776447105,0.3333333333333333,0.4444444444444444,1.0,0.8333333333333334,5.860786223465865,2,Shirts & Tops,c2-slow-even-mid
New Tiger Plushie Big,43,134.0,3.116279069767442,1.4149496168802667,1.0578416966402324,0.08582834331337326,0.40298507462686567,0.3070362473347548,0.30952380952380953,0.7222222222222222,6.7464121285733745,2,Plush & Souvenirs,c2-slow-even-mid
New Tiger Plushie Big @850,103,622.0,6.038834951456311,1.951442666625039,1.7355226802412167,0.2055888223552894,0.567524115755627,0.2916858061552595,5.0,0.5480109739368998,6.7464121285733745,3,Plush & Souvenirs,c3-steady-bursty-mid-breakpeak
New Tiger Plushie Small,53,195.0,3.6792452830188678,1.5431368326128603,1.1216192029262122,0.10578842315369262,0.38461538461538464,0.27985347985347986,0.5202312138728323,0.7803468208092486,6.55250788703459,2,Plush & Souvenirs,c2-slow-even-mid
New Tiger Plushie Small @750,93,391.0,4.204301075268817,1.6494854135633756,1.0931050385961543,0.18562874251497005,0.3887468030690537,0.24698575082206795,3.0204962243797193,1.2168284789644015,6.621405651764134,0,Plush & Souvenirs,c0-steady-bursty-mid
Notelet,94,1159.0,12.329787234042554,2.5900011726260646,2.242255692125511,0.18762475049900199,0.6643658326143227,0.37988413657093556,0.32697547683923706,0.29669996972449286,3.9318256327243257,1,Stationery,c1-steady-bursty-budget-termonly
"Oversized shirt (V,B) @650",66,215.0,3.257575757575758,1.4486999273073202,1.4381465238764048,0.1317365269461078,0.42790697674418604,0.3229235880398671,0.6021505376344086,0.9408602150537634,6.478509642208569,2,Shirts & Tops,c2-slow-even-mid
Pen @30,57,579.0,10.157894736842104,2.412147295505572,1.3922047981383154,0.11377245508982035,0.4438687392055268,0.305452751048606,0.1970802919708029,1.4288321167883211,3.4339872044851463,0,Stationery,c0-steady-bursty-mid
Pen @40,115,1145.0,9.956521739130435,2.3939348715822737,3.881866532477657,0.22954091816367264,0.6960698689956332,0.4049906425452277,0.13013059701492538,0.30363805970149255,3.713572066704308,1,Stationery,c1-steady-bursty-budget-termonly
Pencil,38,318.0,8.368421052631579,2.2373445711256448,3.3467678174932196,0.07584830339321358,0.7484276729559748,0.6091644204851752,0.10596026490066225,0.31788079470198677,3.58351893845611,1,Stationery,c1-steady-bursty-budget-termonly
Picasso Pen,22,42.0,1.9090909090909092,1.067840630001356,0.756642827512913,0.043912175648702596,0.35714285714285715,0.43537414965986393,1.0256410256410258,0.5128205128205129,5.5053315359323625,2,Stationery,c2-slow-even-mid
Polo Shirt @800,150,286.0,1.9066666666666667,1.0670069492527785,0.8664941168922781,0.2994011976047904,0.3111888111888112,0.25074925074925075,1.1312078479460455,1.0030042918454936,6.68586094706836,2,Shirts & Tops,c2-slow-even-mid
Poloshirt 123456 @860,83,126.0,1.5180722891566265,0.9234936441682131,0.6535803344134108,0.1656686626746507,0.2777777777777778,0.24036281179138322,1.3465346534653464,1.106082036775106,6.7580945044277305,2,Shirts & Tops,c2-slow-even-mid
