sku,method,fold,origin,n_train,horizon,actual_30d,pred_30d,abs_error,naive_scale
39,weekly_hurdle_12w,3,551,551,30,0.0,0.0,0.0,0.0
39,weekly_hurdle_12w,4,581,581,30,0.0,0.0,0.0,0.0
39,weekly_hurdle_12w,5,611,611,30,28.0,0.0,28.0,0.0
39,weekly_hurdle_12w,6,641,641,30,45.0,10.000000000000004,35.0,1.4
39,weekly_hurdle_12w,7,671,671,30,29.0,26.071428571428577,2.9285714285714235,2.142857142857143
39,weekly_hurdle_12w,8,701,701,30,47.0,36.42857142857143,10.57142857142857,2.772727272727273
39,weekly_hurdle_12w,9,731,731,30,65.0,42.142857142857146,22.857142857142854,3.4347826086956523
39,weekly_hurdle_12w,10,761,761,30,123.0,49.999999999999986,73.00000000000001,4.041666666666667
39,weekly_hurdle_12w,11,791,791,30,4.0,78.92857142857142,74.92857142857142,6.2
42,weekly_hurdle_12w,0,461,461,30,0.0,0.0,0.0,0.42857142857142855
42,weekly_hurdle_12w,1,491,491,30,0.0,0.0,0.0,0.4
42,weekly_hurdle_12w,2,521,521,30,0.0,0.0,0.0,0.375
42,weekly_hurdle_12w,3,551,551,30,0.0,0.0,0.0,0.35294117647058826
42,weekly_hurdle_12w,4,581,581,30,0.0,0.0,0.0,0.3333333333333333
42,weekly_hurdle_12w,5,611,611,30,0.0,0.0,0.0,0.3157894736842105
42,weekly_hurdle_12w,6,641,641,30,0.0,0.0,0.0,0.3
42,weekly_hurdle_12w,7,671,671,30,0.0,0.0,0.0,0.2857142857142857
42,weekly_hurdle_12w,8,701,701,30,0.0,0.0,0.0,0.2727272727272727
42,weekly_hurdle_12w,9,731,731,30,0.0,0.0,0.0,0.2608695652173913
42,weekly_hurdle_12w,10,761,761,30,0.0,0.0,0.0,0.25
42,weekly_hurdle_12w,11,791,791,30,0.0,0.0,0.0,0.24
47,weekly_hurdle_12w,0,461,461,30,0.0,0.0,0.0,1.8571428571428572
47,weekly_hurdle_12w,1,491,491,30,0.0,0.0,0.0,1.7333333333333334
47,weekly_hurdle_12w,2,521,521,30,0.0,0.0,0.0,1.625
47,weekly_hurdle_12w,3,551,551,30,0.0,0.0,0.0,1.5294117647058822
47,weekly_hurdle_12w,4,581,581,30,0.0,0.0,0.0,1.4444444444444444
47,weekly_hurdle_12w,5,611,611,30,0.0,0.0,0.0,1.368421052631579
47,weekly_hurdle_12w,6,641,641,30,0.0,0.0,0.0,1.3
47,weekly_hurdle_12w,7,671,671,30,0.0,0.0,0.0,1.2380952380952381
47,weekly_hurdle_12w,8,701,701,30,0.0,0.0,0.0,1.1818181818181819
47,weekly_hurdle_12w,9,731,731,30,0.0,0.0,0.0,1.1304347826086956
47,weekly_hurdle_12w,10,761,761,30,0.0,0.0,0.0,1.0833333333333333
47,weekly_hurdle_12w,11,791,791,30,0.0,0.0,0.0,1.04
48,weekly_hurdle_12w,0,461,461,30,0.0,0.0,0.0,0.0
48,weekly_hurdle_12w,1,491,491,30,0.0,0.0,0.0,0.0
48,weekly_hurdle_12w,2,521,521,30,0.0,0.0,0.0,0.0
48,weekly_hurdle_12w,3,551,551,30,0.0,0.0,0.0,0.0
48,weekly_hurdle_12w,4,581,581,30,0.0,0.0,0.0,0.0
48,weekly_hurdle_12w,5,611,611,30,91.0,0.0,91.0,0.0
48,weekly_hurdle_12w,6,641,641,30,35.0,32.49999999999999,2.500000000000007,4.55
48,weekly_hurdle_12w,7,671,671,30,26.0,45.0,19.0,7.0
48,weekly_hurdle_12w,8,701,701,30,23.0,54.28571428571429,31.285714285714292,7.090909090909091
48,weekly_hurdle_12w,9,731,731,30,56.0,28.21428571428571,27.78571428571429,6.913043478260869
48,weekly_hurdle_12w,10,761,761,30,99.0,36.071428571428555,62.928571428571445,8.0
48,weekly_hurdle_12w,11,791,791,30,9.0,62.500000000000014,53.500000000000014,9.4
49,weekly_hurdle_12w,0,461,461,30,16.0,11.42857142857143,4.571428571428569,12.285714285714286
49,weekly_hurdle_12w,1,491,491,30,10.0,11.07142857142857,1.0714285714285694,12.4
49,weekly_hurdle_12w,2,521,521,30,3.0,10.000000000000004,7.0000000000000036,12.0
49,weekly_hurdle_12w,3,551,551,30,0.0,10.000000000000004,10.000000000000004,11.705882352941176
49,weekly_hurdle_12w,4,581,581,30,0.0,4.285714285714286,4.285714285714286,11.222222222222221
49,weekly_hurdle_12w,5,611,611,30,0.0,0.3571428571428572,0.3571428571428572,10.631578947368421
49,weekly_hurdle_12w,6,641,641,30,0.0,0.0,0.0,10.1
49,weekly_hurdle_12w,7,671,671,30,0.0,0.0,0.0,9.619047619047619
49,weekly_hurdle_12w,8,701,701,30,0.0,0.0,0.0,9.181818181818182
49,weekly_hurdle_12w,9,731,731,30,0.0,0.0,0.0,8.782608695652174
49,weekly_hurdle_12w,10,761,761,30,0.0,0.0,0.0,8.416666666666666
49,weekly_hurdle_12w,11,791,791,30,0.0,0.0,0.0,8.08
51,weekly_hurdle_12w,0,461,461,30,0.0,0.0,0.0,0.0
51,weekly_hurdle_12w,1,491,491,30,0.0,0.0,0.0,0.0
51,weekly_hurdle_12w,2,521,521,30,0.0,0.0,0.0,0.0
51,weekly_hurdle_12w,3,551,551,30,0.0,0.0,0.0,0.0
51,weekly_hurdle_12w,4,581,581,30,0.0,0.0,0.0,0.0
51,weekly_hurdle_12w,5,611,611,30,0.0,0.0,0.0,0.0
51,weekly_hurdle_12w,6,641,641,30,0.0,0.0,0.0,0.0
51,weekly_hurdle_12w,7,671,671,30,0.0,0.0,0.0,0.0
51,weekly_hurdle_12w,8,701,701,30,0.0,0.0,0.0,0.0
51,weekly_hurdle_12w,9,731,731,30,0.0,0.0,0.0,0.0
51,weekly_hurdle_12w,10,761,761,30,0.0,0.0,0.0,0.0
51,weekly_hurdle_12w,11,791,791,30,0.0,0.0,0.0,0.0
52,weekly_hurdle_12w,0,461,461,30,0.0,8.214285714285714,8.214285714285714,8.0
52,weekly_hurdle_12w,1,491,491,30,0.0,0.3571428571428572,0.3571428571428572,7.533333333333333
52,weekly_hurdle_12w,2,521,521,30,0.0,0.3571428571428572,0.3571428571428572,7.0625
52,weekly_hurdle_12w,3,551,551,30,0.0,0.0,0.0,6.647058823529412
52,weekly_hurdle_12w,4,581,581,30,0.0,0.0,0.0,6.277777777777778
52,weekly_hurdle_12w,5,611,611,30,0.0,0.0,0.0,5.947368421052632
52,weekly_hurdle_12w,6,641,641,30,0.0,0.0,0.0,5.65
52,weekly_hurdle_12w,7,671,671,30,0.0,0.0,0.0,5.380952380952381
52,weekly_hurdle_12w,8,701,701,30,0.0,0.0,0.0,5.136363636363637
52,weekly_hurdle_12w,9,731,731,30,2.0,0.0,2.0,4.913043478260869
52,weekly_hurdle_12w,10,761,761,30,0.0,0.7142857142857144,0.7142857142857144,4.791666666666667
52,weekly_hurdle_12w,11,791,791,30,0.0,0.7142857142857144,0.7142857142857144,4.68
54,weekly_hurdle_12w,0,461,461,30,114.0,92.8571428571429,21.142857142857096,12.714285714285714
54,weekly_hurdle_12w,1,491,491,30,116.0,84.28571428571428,31.714285714285722,15.866666666666667
54,weekly_hurdle_12w,2,521,521,30,179.0,98.57142857142861,80.42857142857139,15.0
54,weekly_hurdle_12w,3,551,551,30,339.0,129.99999999999997,209.00000000000003,17.823529411764707
54,weekly_hurdle_12w,4,581,581,30,424.0,220.71428571428572,203.28571428571428,25.72222222222222
54,weekly_hurdle_12w,5,611,611,30,0.0,326.4285714285716,326.4285714285716,28.842105263157894
54,weekly_hurdle_12w,6,641,641,30,0.0,264.28571428571416,264.28571428571416,48.6
54,weekly_hurdle_12w,7,671,671,30,0.0,84.28571428571428,84.28571428571428,46.285714285714285
54,weekly_hurdle_12w,8,701,701,30,0.0,0.0,0.0,44.18181818181818
54,weekly_hurdle_12w,9,731,731,30,0.0,0.0,0.0,42.26086956521739
54,weekly_hurdle_12w,10,761,761,30,0.0,0.0,0.0,40.5
54,weekly_hurdle_12w,11,791,791,30,0.0,0.0,0.0,38.88
55,weekly_hurdle_12w,0,461,461,30,0.0,0.0,0.0,0.0
55,weekly_hurdle_12w,1,491,491,30,0.0,0.0,0.0,0.0
55,weekly_hurdle_12w,2,521,521,30,0.0,0.0,0.0,0.0
55,weekly_hurdle_12w,3,551,551,30,0.0,0.0,0.0,0.0
55,weekly_hurdle_12w,4,581,581,30,0.0,0.0,0.0,0.0
55,weekly_hurdle_12w,5,611,611,30,515.0,0.0,515.0,0.0
55,weekly_hurdle_12w,6,641,641,30,88.0,183.92857142857142,95.92857142857142,25.75
55,weekly_hurdle_12w,7,671,671,30,72.0,215.35714285714278,143.35714285714278,44.857142857142854
55,weekly_hurdle_12w,8,701,701,30,87.0,239.28571428571433,152.28571428571433,43.54545454545455
55,weekly_hurdle_12w,9,731,731,30,228.0,80.71428571428571,147.28571428571428,42.30434782608695
55,weekly_hurdle_12w,10,761,761,30,195.0,132.85714285714286,62.14285714285714,46.416666666666664
55,weekly_hurdle_12w,11,791,791,30,90.0,178.2142857142858,88.21428571428581,45.88
57,weekly_hurdle_12w,0,461,461,30,2.0,12.499999999999996,10.499999999999996,4.071428571428571
57,weekly_hurdle_12w,1,491,491,30,54.0,3.2142857142857144,50.785714285714285,3.8666666666666667
57,weekly_hurdle_12w,2,521,521,30,39.0,20.357142857142847,18.642857142857153,6.875
57,weekly_hurdle_12w,3,551,551,30,19.0,33.57142857142858,14.571428571428577,7.352941176470588
57,weekly_hurdle_12w,4,581,581,30,11.0,25.357142857142854,14.357142857142854,8.055555555555555
57,weekly_hurdle_12w,5,611,611,30,35.0,20.000000000000007,14.999999999999993,8.052631578947368
57,weekly_hurdle_12w,6,641,641,30,36.0,22.14285714285714,13.857142857142861,8.85
57,weekly_hurdle_12w,7,671,671,30,30.0,27.500000000000007,2.499999999999993,8.476190476190476
57,weekly_hurdle_12w,8,701,701,30,31.0,34.642857142857146,3.642857142857146,8.363636363636363
57,weekly_hurdle_12w,9,731,731,30,80.0,28.928571428571434,51.07142857142857,8.043478260869565
57,weekly_hurdle_12w,10,761,761,30,18.0,49.642857142857146,31.642857142857146,9.75
57,weekly_hurdle_12w,11,791,791,30,0.0,45.71428571428573,45.71428571428573,11.84
58,weekly_hurdle_12w,0,461,461,30,12.0,21.428571428571434,9.428571428571434,3.2857142857142856
58,weekly_hurdle_12w,1,491,491,30,7.0,13.571428571428573,6.571428571428573,3.3333333333333335
58,weekly_hurdle_12w,2,521,521,30,47.0,8.928571428571427,38.07142857142857,3.4375
58,weekly_hurdle_12w,3,551,551,30,55.0,20.71428571428571,34.28571428571429,5.588235294117647
58,weekly_hurdle_12w,4,581,581,30,67.0,38.928571428571445,28.071428571428555,5.722222222222222
58,weekly_hurdle_12w,5,611,611,30,55.0,57.499999999999986,2.499999999999986,6.052631578947368
58,weekly_hurdle_12w,6,641,641,30,15.0,63.214285714285694,48.214285714285694,6.35
58,weekly_hurdle_12w,7,671,671,30,11.0,30.714285714285722,19.714285714285722,7.9523809523809526
58,weekly_hurdle_12w,8,701,701,30,22.0,28.928571428571434,6.928571428571434,7.7727272727272725
58,weekly_hurdle_12w,9,731,731,30,31.0,16.071428571428577,14.928571428571423,7.913043478260869
58,weekly_hurdle_12w,10,761,761,30,1.0,22.5,21.5,7.958333333333333
58,weekly_hurdle_12w,11,791,791,30,0.0,18.214285714285715,18.214285714285715,8.84
59,weekly_hurdle_12w,0,461,461,30,28.0,24.642857142857153,3.357142857142847,6.071428571428571
59,weekly_hurdle_12w,1,491,491,30,30.0,19.642857142857146,10.357142857142854,6.8
59,weekly_hurdle_12w,2,521,521,30,19.0,24.64285714285715,5.6428571428571495,6.5
59,weekly_hurdle_12w,3,551,551,30,6.0,24.28571428571429,18.28571428571429,6.764705882352941
59,weekly_hurdle_12w,4,581,581,30,0.0,18.214285714285715,18.214285714285715,7.111111111111111
59,weekly_hurdle_12w,5,611,611,30,0.0,5.714285714285715,5.714285714285715,7.052631578947368
59,weekly_hurdle_12w,6,641,641,30,7.0,2.142857142857143,4.857142857142858,6.7
59,weekly_hurdle_12w,7,671,671,30,9.0,2.500000000000001,6.499999999999999,6.714285714285714
59,weekly_hurdle_12w,8,701,701,30,15.0,5.714285714285716,9.285714285714285,6.5
59,weekly_hurdle_12w,9,731,731,30,38.0,11.071428571428568,26.92857142857143,6.478260869565218
59,weekly_hurdle_12w,10,761,761,30,23.0,22.14285714285714,0.8571428571428612,7.166666666666667
59,weekly_hurdle_12w,11,791,791,30,7.0,26.428571428571423,19.428571428571423,7.48
