metric_id,product_id,item_name,tier,validation_method,period_scope,n_obs,mae,rmse,mape,naive_mae,naive_rmse,naive_mape,beats_naive_mae,meets_mape_threshold,snapshot_date,mase,naive_mase
42,209,Keychain @160,simplified,walk_forward_30d_aggregate,semestral_break,1,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
43,212,Kraft Notebook @130,standard,walk_forward_30d_aggregate,overall,12,61.91666666666666,84.00644816520534,424.8214489867327,48.916666666666664,76.70017383726498,93.5064935064935,0,0.0,2026-07-31,3.5228034880102026,2.7831569952382087
44,212,Kraft Notebook @130,standard,walk_forward_30d_aggregate,standard_period,11,63.818181818181806,86.86666899230211,457.54168912350127,52.27272727272727,80.02897202661273,100.0,0,0.0,2026-07-31,3.62956577466314,2.9729349293893246
45,212,Kraft Notebook @130,standard,walk_forward_30d_aggregate,semestral_break,1,41.0,41.0,97.61904761904762,12.0,12.0,28.57142857142857,0,,2026-07-31,2.342857142857143,0.6857142857142857
46,213,Kraft Notebook @85,minimal,walk_forward_30d_aggregate,overall,12,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
47,213,Kraft Notebook @85,minimal,walk_forward_30d_aggregate,standard_period,11,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
48,213,Kraft Notebook @85,minimal,walk_forward_30d_aggregate,semestral_break,1,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
49,215,Lanyard @180,standard,walk_forward_30d_aggregate,overall,12,261.4166666666667,331.5273995715387,3254.0561697109274,1073.3333333333333,2152.524641748227,1514.2295785746498,1,0.0,2026-07-31,1.9658828590150261,8.071587894202592
50,215,Lanyard @180,standard,walk_forward_30d_aggregate,standard_period,11,262.45454545454544,337.9651676511272,3546.0142754298554,1120.7272727272727,2242.069741839608,1643.35249017049,1,0.0,2026-07-31,1.9705010421977411,8.414387547008575
51,215,Lanyard @180,standard,walk_forward_30d_aggregate,semestral_break,1,250.00000000000006,250.00000000000006,42.5170068027211,552.0,552.0,93.87755102040816,1,,2026-07-31,1.9140791152700982,4.226286686516376
