Category,Date,No,Item,Size,Location,Classification,Price,Quantity,OPEX,Notes,canonical_item_name
APPAREL,2024-11-13,3.0,Gray and White Sporty Sweatshirt,XS,INSIDE,,1450.0,27.0,,,Gray and White Sporty Sweatshirt
APPAREL,2024-11-13,3.0,Gray and White Sporty Sweatshirt,Small,INSIDE,,1450.0,29.0,,,Gray and White Sporty Sweatshirt
APPAREL,2024-11-13,3.0,Gray and White Sporty Sweatshirt,Small,OUTSIDE,,1450.0,2.0,,,Gray and White Sporty Sweatshirt
APPAREL,2024-11-13,3.0,Gray and White Sporty Sweatshirt,Medium,INSIDE,,1450.0,25.0,,,Gray and White Sporty Sweatshirt
APPAREL,2024-11-13,3.0,Gray and White Sporty Sweatshirt,Medium,OUTSIDE,,1450.0,2.0,,,Gray and White Sporty Sweatshirt
APPAREL,2024-11-13,3.0,Gray and White Sporty Sweatshirt,Large,INSIDE,,1450.0,25.0,,,Gray and White Sporty Sweatshirt
APPAREL,2024-11-13,3.0,Gray and White Sporty Sweatshirt,Large,OUTSIDE,,1450.0,1.0,,,Gray and White Sporty Sweatshirt
APPAREL,2024-11-13,3.0,Gray and White Sporty Sweatshirt,XL,INSIDE,,1450.0,22.0,,,Gray and White Sporty Sweatshirt
APPAREL,2024-11-13,3.0,Gray and White Sporty Sweatshirt,2XL,INSIDE,,1450.0,10.0,,,Gray and White Sporty Sweatshirt
APPAREL,2024-11-13,3.0,Gray and White Sporty Sweatshirt,2XL,OUTSIDE,,1450.0,1.0,,,Gray and White Sporty Sweatshirt
APPAREL,2024-11-13,4.0,Windbreaker,Large,INSIDE,,1650.0,20.0,,,Windbreaker
APPAREL,2024-11-13,4.0,Windbreaker,Large,OUTSIDE,,1650.0,4.0,,,Windbreaker
APPAREL,2024-11-13,4.0,Windbreaker,XL,INSIDE,,1650.0,19.0,,,Windbreaker
APPAREL,2024-11-13,4.0,Windbreaker,XL,OUTSIDE,,1650.0,2.0,,,Windbreaker
APPAREL,2024-11-13,5.0,Black Oat Hoodie,Small,INSIDE,,1450.0,6.0,,,Black Oat Hoodie
APPAREL,2024-11-13,5.0,Black Oat Hoodie,Small,OUTSIDE,,1450.0,4.0,,,Black Oat Hoodie
APPAREL,2024-11-13,5.0,Black Oat Hoodie,Medium,INSIDE,,1450.0,22.0,,,Black Oat Hoodie
APPAREL,2024-11-13,5.0,Black Oat Hoodie,Medium,OUTSIDE,,1450.0,2.0,,,Black Oat Hoodie
APPAREL,2024-11-13,5.0,Black Oat Hoodie,Large,INSIDE,,1450.0,20.0,,,Black Oat Hoodie
APPAREL,2024-11-13,5.0,Black Oat Hoodie,XL,INSIDE,,1450.0,16.0,,,Black Oat Hoodie
APPAREL,2024-11-13,5.0,Black Oat Hoodie,XL,OUTSIDE,,1450.0,1.0,,,Black Oat Hoodie
APPAREL,2024-11-13,5.0,Black Oat Hoodie,2XL,INSIDE,,1450.0,20.0,,,Black Oat Hoodie
APPAREL,2024-11-13,6.0,Gray Oat Hoodie,Medium,INSIDE,,1450.0,4.0,,,Gray Oat Hoodie
APPAREL,2024-11-13,6.0,Gray Oat Hoodie,Medium,OUTSIDE,,1450.0,1.0,,,Gray Oat Hoodie
APPAREL,2024-11-13,6.0,Gray Oat Hoodie,2XL,INSIDE,,1450.0,6.0,,,Gray Oat Hoodie
APPAREL,2024-11-13,6.0,Gray Oat Hoodie,2Xl,OUTSIDE,,1450.0,3.0,,,Gray Oat Hoodie
APPAREL,2024-11-13,7.0,JYL Hoodie (black/yellow green inside),Medium,INSIDE,,1900.0,6.0,,,JYL Hoodie (black/yellow green inside)
APPAREL,2024-11-13,7.0,JYL Hoodie (black/yellow green inside),Medium,OUTSIDE,,1900.0,3.0,,,JYL Hoodie (black/yellow green inside)
APPAREL,2024-11-13,7.0,JYL Hoodie (black/yellow green inside),Large,INSIDE,,1900.0,6.0,,,JYL Hoodie (black/yellow green inside)
APPAREL,2024-11-13,7.0,JYL Hoodie (black/yellow green inside),Large,OUTSIDE,,1900.0,1.0,,,JYL Hoodie (black/yellow green inside)
APPAREL,2024-11-13,7.0,JYL Hoodie (black/yellow green inside),XL,INSIDE,,1900.0,6.0,,,JYL Hoodie (black/yellow green inside)
APPAREL,2024-11-13,7.0,JYL Hoodie (black/yellow green inside),XL,OUTSIDE,,1900.0,6.0,,,JYL Hoodie (black/yellow green inside)
APPAREL,2024-11-13,8.0,JYL Jacket (black/yellow green inside),Medium,OUTSIDE,,1900.0,2.0,,,JYL Jacket (black/yellow green inside)
APPAREL,2024-11-13,8.0,JYL Jacket (black/yellow green inside),Large,OUTSIDE,,1900.0,1.0,,,JYL Jacket (black/yellow green inside)
APPAREL,2024-11-13,9.0,JYL Hoodie (white/green/yellow,Medium,OUTSIDE,,1900.0,1.0,,,JYL Hoodie (white/green/yellow
APPAREL,2024-11-13,9.0,JYL Hoodie (white/green/yellow,Medium,INSIDE,,1900.0,2.0,,,JYL Hoodie (white/green/yellow
APPAREL,2024-11-13,9.0,JYL Hoodie (white/green/yellow,Large,OUTSIDE,,1900.0,2.0,,,JYL Hoodie (white/green/yellow
APPAREL,2024-11-13,9.0,JYL Hoodie (white/green/yellow,Large,INSIDE,,1900.0,3.0,,,JYL Hoodie (white/green/yellow
APPAREL,2024-11-13,9.0,JYL Hoodie (white/green/yellow,XL,OUTSIDE,,1900.0,1.0,,,JYL Hoodie (white/green/yellow
APPAREL,2024-11-13,9.0,JYL Hoodie (white/green/yellow,XL,INSIDE,,1900.0,4.0,,,JYL Hoodie (white/green/yellow
