fold,origin,origin_date,sku,category,actual_30d,naive_denom,arm,method,yhat,abs_err,sq_err,mase
0,461,2025-08-06,229,Stationery,172.0,60.357142857142854,top-down,topdown_rolling_mean_30,125.10245901639344,46.89754098360656,2199.379350309057,0.7770006790183336
0,461,2025-08-06,229,Stationery,172.0,60.357142857142854,top-down,topdown_tsb,131.4600084462493,40.539991553750696,1643.4909151781778,0.6716684991153962
0,461,2025-08-06,242,Plush & Souvenirs,0.0,133.57142857142858,per-SKU,persku_rolling_mean_30,0.0,0.0,0.0,0.0
0,461,2025-08-06,242,Plush & Souvenirs,0.0,133.57142857142858,per-SKU,persku_rolling_mean_180,0.0,0.0,0.0,0.0
0,461,2025-08-06,242,Plush & Souvenirs,0.0,133.57142857142858,per-SKU,persku_tsb,6.336615513588924e-08,6.336615513588924e-08,4.015269616705582e-15,4.743990224077268e-10
0,461,2025-08-06,242,Plush & Souvenirs,0.0,133.57142857142858,per-SKU,persku_ewma_a0.1,8.47466927008389e-08,8.47466927008389e-08,7.182001923730422e-15,6.344672180811468e-10
0,461,2025-08-06,242,Plush & Souvenirs,0.0,133.57142857142858,top-down,topdown_RM6_180,0.0,0.0,0.0,0.0
0,461,2025-08-06,242,Plush & Souvenirs,0.0,133.57142857142858,top-down,topdown_rolling_mean_30,0.0,0.0,0.0,0.0
0,461,2025-08-06,242,Plush & Souvenirs,0.0,133.57142857142858,top-down,topdown_tsb,0.0,0.0,0.0,0.0
0,461,2025-08-06,250,Plush & Souvenirs,0.0,7.714285714285714,per-SKU,persku_rolling_mean_30,0.0,0.0,0.0,0.0
0,461,2025-08-06,250,Plush & Souvenirs,0.0,7.714285714285714,per-SKU,persku_rolling_mean_180,0.0,0.0,0.0,0.0
0,461,2025-08-06,250,Plush & Souvenirs,0.0,7.714285714285714,per-SKU,persku_tsb,1.7878847036427847e-07,1.7878847036427847e-07,3.196531713519848e-14,2.317628319536943e-08
0,461,2025-08-06,250,Plush & Souvenirs,0.0,7.714285714285714,per-SKU,persku_ewma_a0.1,1.7227980950042066e-07,1.7227980950042066e-07,2.968033276150123e-14,2.2332567898202677e-08
0,461,2025-08-06,250,Plush & Souvenirs,0.0,7.714285714285714,top-down,topdown_RM6_180,0.0,0.0,0.0,0.0
0,461,2025-08-06,250,Plush & Souvenirs,0.0,7.714285714285714,top-down,topdown_rolling_mean_30,0.0,0.0,0.0,0.0
0,461,2025-08-06,250,Plush & Souvenirs,0.0,7.714285714285714,top-down,topdown_tsb,0.0,0.0,0.0,0.0
0,461,2025-08-06,251,Plush & Souvenirs,25.0,31.785714285714285,per-SKU,persku_rolling_mean_30,13.000000000000002,11.999999999999998,143.99999999999997,0.3775280898876404
0,461,2025-08-06,251,Plush & Souvenirs,25.0,31.785714285714285,per-SKU,persku_rolling_mean_180,83.66666666666669,58.666666666666686,3441.77777777778,1.8456928838951316
0,461,2025-08-06,251,Plush & Souvenirs,25.0,31.785714285714285,per-SKU,persku_tsb,75.354308813404,50.354308813404,2535.556416075656,1.5841805019947328
0,461,2025-08-06,251,Plush & Souvenirs,25.0,31.785714285714285,per-SKU,persku_ewma_a0.1,36.783385174799136,11.783385174799136,138.84816617767606,0.37071324145435486
0,461,2025-08-06,251,Plush & Souvenirs,25.0,31.785714285714285,top-down,topdown_RM6_180,83.66666666666669,58.666666666666686,3441.77777777778,1.8456928838951316
0,461,2025-08-06,251,Plush & Souvenirs,25.0,31.785714285714285,top-down,topdown_rolling_mean_30,13.000000000000002,11.999999999999998,143.99999999999997,0.3775280898876404
0,461,2025-08-06,251,Plush & Souvenirs,25.0,31.785714285714285,top-down,topdown_tsb,75.4189792014553,50.4189792014553,2542.073463716782,1.5862150760008409
